date,week,year,quarter,month,week_of_year,tv_spend,radio_spend,print_spend,paid_search_spend,display_ads_spend,social_media_spend,email_spend,tv_spend_contribution,radio_spend_contribution,print_spend_contribution,paid_search_spend_contribution,display_ads_spend_contribution,social_media_spend_contribution,email_spend_contribution,base_sales,promotion,promotion_lift,competitor_activity,competitor_impact,sales_revenue,total_marketing_spend,total_marketing_contribution,sales_wow_change,spend_wow_change,holiday_week
2023-04-10,119,2023,2,4,15,50.96,17.8,17.18,55.7,36.2,36.84,13.31,144.99,34.39,24.12,127.8,66.02,82.99,36.74,529.24,0,0.0,0,-0.0,1064.29,227.99,517.06,0.08,0.38,0
2023-04-17,120,2023,2,4,16,31.84,17.01,10.22,40.56,36.76,17.97,15.75,132.16,33.27,22.83,106.04,67.11,55.58,42.14,529.7,0,0.0,0,-0.0,984.45,170.11,459.13,-0.08,-0.25,0
2023-04-24,121,2023,2,4,17,36.03,14.87,10.76,62.2,31.87,33.21,8.4,130.29,30.78,22.24,135.95,62.07,77.05,26.99,530.16,0,0.0,0,-0.0,997.74,197.33,485.37,0.01,0.16,0
2023-05-01,122,2023,2,5,18,50.04,14.57,7.36,40.57,26.72,28.11,8.82,145.12,29.69,20.18,107.05,54.99,72.09,27.13,530.62,0,0.0,0,-0.0,964.77,176.19,456.26,-0.03,-0.11,0
2023-05-08,123,2023,2,5,19,48.62,9.28,9.09,31.13,33.81,21.93,12.79,150.43,23.32,19.77,86.68,61.83,60.83,36.01,531.08,1,104.45,0,-0.0,1053.45,166.65,438.87,0.09,-0.05,0
2023-05-15,124,2023,2,5,20,33.0,31.21,20.96,32.86,33.45,21.32,15.27,136.57,42.66,24.9,87.81,62.73,57.92,41.24,531.54,0,0.0,0,-0.0,988.76,188.07,453.84,-0.06,0.13,0
2023-05-22,125,2023,2,5,21,65.33,23.43,17.02,44.63,33.29,19.72,4.29,162.38,41.38,25.92,108.74,62.74,54.5,16.12,532.0,0,0.0,0,-0.0,1017.13,207.72,471.78,0.03,0.1,0
2023-05-29,126,2023,2,5,22,64.81,21.14,15.08,31.92,42.13,29.06,5.74,172.58,39.16,25.86,88.39,71.9,70.4,18.65,532.46,0,0.0,0,-0.0,956.64,209.86,486.94,-0.06,0.01,0
2023-06-05,127,2023,2,6,23,56.51,17.96,11.1,63.01,34.15,30.66,7.96,170.94,35.68,24.37,135.72,65.59,75.09,24.61,560.97,0,0.0,0,-0.0,1135.35,221.34,532.0,0.19,0.05,0
2023-06-12,128,2023,2,6,24,56.49,12.43,14.92,44.19,22.68,25.43,8.32,170.09,29.02,24.89,112.91,50.77,67.4,25.79,561.45,0,0.0,0,-0.0,1082.56,184.46,480.86,-0.05,-0.17,0
2023-06-19,129,2023,2,6,25,56.51,13.64,22.02,39.25,28.38,19.59,12.84,169.68,28.14,27.46,102.11,54.71,55.78,36.04,561.94,0,0.0,0,-0.0,965.94,192.23,473.93,-0.11,0.04,0
2023-06-26,130,2023,2,6,26,130.59,9.88,10.48,40.24,32.24,33.39,15.54,211.61,23.53,25.3,102.69,60.0,77.35,41.73,562.42,0,0.0,0,-0.0,1137.2,272.34,542.2,0.18,0.42,0
2023-07-03,131,2023,3,7,27,64.0,14.33,14.0,35.84,34.61,38.7,16.0,198.34,27.32,25.09,94.98,63.65,87.65,42.84,562.9,0,0.0,0,-0.0,1134.43,217.48,539.87,-0.0,-0.2,1
2023-07-10,132,2023,3,7,28,58.77,11.7,27.25,22.23,39.54,35.4,4.31,186.86,25.43,28.91,67.16,69.51,84.63,16.29,563.39,0,0.0,0,-0.0,1042.19,199.21,478.79,-0.08,-0.08,1
2023-07-17,133,2023,3,7,29,37.96,35.34,18.75,33.36,34.69,54.15,6.66,164.04,45.88,28.73,86.95,65.64,106.66,21.16,563.87,0,0.0,0,-0.0,1044.03,220.9,519.08,0.0,0.11,0
2023-07-24,134,2023,3,7,30,45.08,26.66,11.16,60.53,18.04,27.13,5.43,156.61,44.72,26.5,132.34,44.67,76.11,18.05,564.35,0,0.0,0,-0.0,1093.81,194.04,499.0,0.05,-0.12,0
2023-07-31,135,2023,3,7,31,91.36,19.54,18.15,41.51,23.46,44.59,7.34,188.72,38.99,27.16,108.16,47.27,95.01,23.02,564.84,0,0.0,0,-0.0,1085.93,245.95,528.33,-0.01,0.27,0
2023-08-07,136,2023,3,8,32,25.43,12.79,6.76,51.75,39.71,22.66,6.55,154.01,30.62,23.63,121.62,66.89,66.37,21.19,537.06,0,0.0,1,-50.05,987.81,165.65,484.34,-0.09,-0.33,0
2023-08-14,137,2023,3,8,33,41.23,11.77,13.56,52.2,31.51,21.41,11.05,147.43,26.57,23.93,123.55,61.62,58.96,32.03,537.52,0,0.0,0,-0.0,1078.17,182.73,474.08,0.09,0.1,0
2023-08-21,138,2023,3,8,34,65.44,17.23,17.87,37.77,50.2,29.66,11.58,166.77,31.23,25.7,100.76,79.15,71.95,33.68,537.98,0,0.0,0,-0.0,1054.77,229.74,509.24,-0.02,0.26,0
2023-08-28,139,2023,3,8,35,38.1,26.69,16.29,46.33,35.0,47.23,9.35,151.45,40.85,26.13,112.63,68.12,97.68,28.75,538.44,0,0.0,0,-0.0,1036.54,218.98,525.61,-0.02,-0.05,0
2023-09-04,140,2023,3,9,36,60.14,10.15,18.34,23.34,31.29,26.51,9.26,163.98,28.55,27.01,71.73,61.64,73.23,28.29,595.62,0,0.0,0,-0.0,1039.98,179.03,454.43,0.0,-0.18,0
2023-09-11,141,2023,3,9,37,49.91,24.02,19.94,59.88,28.77,16.35,8.22,160.98,38.06,27.95,130.43,57.36,50.59,25.74,596.13,0,0.0,0,-0.0,1063.54,207.09,491.09,0.02,0.16,0
2023-09-18,142,2023,3,9,38,40.09,14.52,17.31,58.37,31.62,39.03,8.62,150.09,32.03,27.77,133.02,59.8,84.92,26.59,596.64,0,0.0,0,-0.0,1123.86,209.55,514.22,0.06,0.01,0
2023-09-25,143,2023,3,9,39,24.68,15.62,17.11,45.61,36.19,28.55,17.41,126.52,31.16,27.6,114.83,65.32,74.08,44.67,597.15,0,0.0,1,-46.2,1010.94,185.17,484.18,-0.1,-0.12,0
2023-10-02,144,2023,4,10,40,53.62,20.18,16.14,43.85,35.61,33.36,13.01,147.22,35.33,27.22,110.02,65.77,79.7,37.32,654.57,0,0.0,0,-0.0,1142.95,215.77,502.57,0.13,0.17,0
2023-10-09,145,2023,4,10,41,39.41,13.77,9.17,40.23,46.29,23.12,8.6,141.91,30.32,24.63,103.49,76.35,64.23,27.16,655.13,0,0.0,0,-0.0,1084.67,180.58,468.08,-0.05,-0.16,0
2023-10-16,146,2023,4,10,42,48.93,17.9,22.24,56.82,22.36,31.37,9.46,149.22,32.94,27.41,128.51,53.12,75.34,28.68,655.69,0,0.0,0,-0.0,1146.94,209.09,495.22,0.06,0.16,0
2023-10-23,147,2023,4,10,43,58.89,13.28,14.6,50.84,23.27,17.71,11.83,161.91,29.0,26.63,122.27,48.73,53.62,34.05,656.24,0,0.0,0,-0.0,1137.77,190.42,476.22,-0.01,-0.09,0
2023-10-30,148,2023,4,10,44,65.26,15.45,19.4,14.56,33.31,53.76,5.79,172.73,30.09,27.59,53.69,60.15,103.27,19.77,656.8,0,0.0,0,-0.0,1043.54,207.53,467.28,-0.08,0.09,0
2023-11-06,149,2023,4,11,45,46.21,28.11,22.56,38.31,43.84,45.12,11.09,162.44,41.69,28.91,95.05,73.11,99.36,32.06,771.68,0,0.0,0,-0.0,1312.08,235.24,532.61,0.26,0.13,1
2023-11-13,150,2023,4,11,46,43.62,21.79,12.59,29.85,46.52,32.66,13.45,154.35,39.79,27.07,82.87,77.86,82.77,37.56,772.33,0,0.0,0,-0.0,1273.23,200.48,502.27,-0.03,-0.15,1
2023-11-20,151,2023,4,11,47,35.53,28.07,13.05,28.09,31.68,42.09,12.77,141.61,43.96,25.91,78.07,64.31,92.76,36.44,772.98,0,0.0,0,-0.0,1233.1,191.29,483.07,-0.03,-0.05,1
2023-11-27,152,2023,4,11,48,70.02,15.72,13.78,59.89,15.86,25.44,7.43,168.27,35.38,25.4,130.86,41.3,70.54,24.21,773.64,0,0.0,0,-0.0,1330.45,208.14,495.95,0.08,0.09,0
2023-12-04,153,2023,4,12,49,100.16,27.29,26.29,43.99,33.28,46.25,8.34,197.5,42.29,28.8,112.0,58.85,96.38,25.82,860.32,0,0.0,0,-0.0,1450.71,285.6,561.64,0.09,0.37,1
2023-12-11,154,2023,4,12,50,75.22,10.21,11.03,51.42,43.77,29.59,4.21,196.0,29.23,26.51,121.49,72.82,77.71,14.85,861.05,0,0.0,0,-0.0,1366.78,225.45,538.63,-0.06,-0.21,1
2023-12-18,155,2023,4,12,51,80.19,22.21,28.1,45.67,38.98,28.87,14.59,197.89,36.65,29.66,113.64,70.74,73.4,39.13,861.77,0,0.0,1,-35.85,1412.19,258.61,561.11,0.03,0.15,1
2023-12-25,156,2023,4,12,52,44.6,28.0,17.69,29.36,46.1,23.57,23.06,176.93,43.12,28.96,84.05,77.05,63.93,53.73,862.5,0,0.0,0,-0.0,1427.6,212.37,527.76,0.01,-0.18,1
